VOLKRAJ;KSTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;POCPROCVSE;MANDAT;PORADIMAND;PORADINAHR
8;21;15;"Pavel";"Marek";"";"";47;"podnikatel, jednatel spoleènosti";"Hradec Králové";569810;768;768;"A";500;0;.56;"N";0;11
8;21;16;"Jan";"Jarolím";"Ing.";"";43;"starosta Dvora Králové nad Labem";"Dvùr Králové nad Labem";579203;768;768;"A";2221;0;2.5;"N";0;12
8;21;17;"Jan";"Borùvka";"";"";49;"tajemník Senátorského klubu hnutí ANO 2011";"Dolany";574015;768;768;"A";735;0;.83;"N";0;13
8;21;18;"Jiøí";"Hlavatı";"Ing.";"";69;"senátor a statutární øeditel spoleènosti Juta";"Dvùr Králové nad Labem";579203;99;768;"A";4859;5.48;5.48;"A";2;0
8;21;19;"Jan";"Malı";"JUDr.";"";65;"starosta Jièína";"Jièín";572659;768;768;"A";1787;0;2.01;"N";0;14
8;21;20;"Jaroslav";"Èapek";"Mgr.";"";68;"advokát";"Hradec Králové";569810;768;768;"A";455;0;.51;"N";0;15
8;22;1;"David";"Štìpán";"";"";36;"podnikatel";"Èeské Meziøíèí";576212;99;1127;"A";11;0;2.89;"N";0;0
8;22;2;"Milan";"Pomeznı";"";"";37;"podnikatel";"Hradec Králové";569810;99;1127;"A";16;0;4.21;"N";0;0
8;22;3;"Mario";"Škaloud";"Bc.";"";35;"podnikatel";"Lochenice";570311;99;1127;"A";6;0;1.57;"N";0;0
8;22;4;"Jiøí";"Vejbìra";"Ing.";"";60;"manaer v chemickém prùmyslu";"Hradec Králové";569810;99;1127;"A";8;0;2.1;"N";0;0
8;22;5;"Jiøí";"Kostlán";"Ing. arch.";"";38;"architekt";"Hradec Králové";569810;99;1127;"A";6;0;1.57;"N";0;0
8;22;6;"Pavel";"Holotík";"Ing. Bc.";"";58;"státní zamìstnanec";"Hradec Králové";569810;99;1127;"A";18;0;4.73;"N";0;0
8;22;7;"Zdenìk";"Majer";"";"";36;"návrháø zahradní architektury";"Vysokov";574643;99;1127;"A";9;0;2.36;"N";0;0
8;22;8;"Petr";"Kuèera";"";"";29;"podnikatel v gastronomii";"Vırava";571105;99;1127;"A";2;0;.52;"N";0;0
8;22;9;"Karin Kateøina";"Šuchová";"PhDr.";"";42;"dìtskı školskı psycholog";"Hradec Králové";569810;99;1127;"A";8;0;2.1;"N";0;0
8;22;10;"Tomáš";"Tylš";"";"";27;"obchodník";"Náchod";573868;99;1127;"A";2;0;.52;"N";0;0
8;22;11;"Lucie Mia";"Hartmanová";"";"";42;"podnikatelka";"Hradec Králové";569810;99;1127;"A";4;0;1.05;"N";0;0
8;22;12;"Kristına";"Štìpánová";"";"";29;"zdravotní sestra";"Èeské Meziøíèí";576212;99;1127;"A";8;0;2.1;"N";0;0
8;22;13;"Jana";"Mraèková";"";"";48;"administrativa";"Humpolec";547999;99;1127;"A";2;0;.52;"N";0;0
8;22;14;"Nina";"Šmákalová";"";"";39;"mateøská dovolená";"Hradec Králové";569810;99;1127;"A";2;0;.52;"N";0;0
8;22;15;"Šárka";"Persyová";"";"";50;"prodavaèka";"Chrast";571539;99;1127;"A";2;0;.52;"N";0;0
8;22;16;"Lukáš";"Šastnı";"";"";30;"HR manaer";"Sopøeè";575666;99;1127;"A";3;0;.78;"N";0;0
8;22;17;"Miroslav";"Rohlíèek";"";"";25;"WEB designer";"Nevratice";549207;99;1127;"A";4;0;1.05;"N";0;0
8;22;18;"Denisa";"Koneèná";"";"";44;"vıstupní kontrolorka";"Hradec Králové";569810;99;1127;"A";2;0;.52;"N";0;0
8;22;19;"Michaela";"Pavlíková";"";"";43;"zdravotní sestra";"Hradec Králové";569810;99;1127;"A";5;0;1.31;"N";0;0
8;23;1;"Radek";"Falta";"";"";43;"elektromechanik";"Havlovice";579220;1125;1125;"A";25;0;4.03;"N";0;0
8;23;2;"Jana";"Nováková";"";"";39;"operátorka reklamní vıroby";"Hradec Králové";569810;1125;1125;"A";24;0;3.87;"N";0;0
8;23;3;"Monika";"Dufková";"";"";46;"operátorka vıroby Continental";"Trutnov";579025;1125;1125;"A";32;5.16;5.16;"N";0;0
8;23;4;"Milan";"Zajíèek";"";"";44;"podnikatel";"Kostelec nad Orlicí";576361;1125;1125;"A";15;0;2.42;"N";0;0
8;23;5;"Ladislav";"Hackl";"";"";32;"podnikatel";"Trutnov";579025;1125;1125;"A";18;0;2.9;"N";0;0
8;23;6;"Radek";"Køí";"";"";39;"OSVÈ";"Jièín";572659;1125;1125;"A";20;0;3.23;"N";0;0
8;23;7;"Zdenìk";"Hejzlar";"";"";61;"podnikatel";"Opoèno";576590;1125;1125;"A";15;0;2.42;"N";0;0
8;23;8;"Rostislav";"Drozda";"";"";35;"elektrotechnik";"Trutnov";579025;99;1125;"A";14;0;2.26;"N";0;0
8;23;9;"Milan";"Prouza";"";"";39;"automechanik";"Náchod";573868;99;1125;"A";9;0;1.45;"N";0;0
8;23;10;"Martin";"Prát";"";"";31;"mechanik seøizovaè";"Opoèno";576590;99;1125;"A";24;0;3.87;"N";0;0
8;23;11;"Jiøí";"Švanda";"";"";43;"øidiè MKD";"Borovnièka";548821;99;1125;"A";17;0;2.74;"N";0;0
8;23;12;"Zdenìk";"Pail";"";"";68;"podnikatel";"Opoèno";576590;1125;1125;"A";16;0;2.58;"N";0;0
8;24;1;"Pavel";"Bìlobrádek";"MVDr.";"Ph.D., MPA";40;"vicepremiér, pøedseda";"Náchod";573868;1;1;"A";3757;23.05;23.05;"A";1;0
8;24;2;"Anna";"Maclová";"Ing.";"";57;"námìstkynì primátora, krajská zastupitelka";"Hradec Králové";569810;99;1;"A";1313;8.05;8.05;"N";0;1
8;24;3;"Aneka";"Mišoòová";"Mgr.";"";36;"lektorka nìmèiny";"Mladé Buky";579548;1;1;"A";762;0;4.67;"N";0;3
8;24;4;"Veronika";"Èepelková";"PhDr.";"";36;"vedoucí Diecézního centra pro seniory,zastupitelka";"Tıništì nad Orlicí";576859;1;1;"A";1087;6.67;6.67;"N";0;2
